"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DP01","DP10","DT00","DT32","DX32","DX90","EMNT","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-01",,"14","9",,,,,,,"2.17",,"5.63",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-02",,"6","4",,,,,,,"2.18",,"4.46",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-03",,"7","6",,,,,,,"1.67",,"2.68",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-04",,"5","5",,,,,,,"2.39",,"4.20",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-05",,"8","7",,,,,,,"1.78",,"4.35",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-06",,"13","12",,,,,,,"2.45",,"9.45",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-07",,"10","6",,,,,,,"1.15",,"4.36",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-08",,"8","8",,,,,,,"2.80",,"7.42",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-09",,"8","5",,,,,,,"0.87",,"2.60",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-10",,"6","5",,,,,,,"1.47",,"4.35",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-11",,"1","1",,,,,,"0.0","2.32",,"2.32","0.0",,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2025-12",,"4","3",,,,,,,"0.68",,"1.00",,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","29.572741","-95.127139","7.3","2026-01",,"4","3",,,,,,,"0.91",,"2.54",,,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-01",,"12","7",,,,,,"0.0","3.08",,"7.06","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-02",,"6","3",,,,,,"0.0","2.23",,"4.56","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-03",,"7","5",,,,,,"0.0","1.06",,"2.01","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-04",,"8","3",,,,,,"0.0","0.57",,"1.51","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-05",,"10","8",,,,,,"0.0","2.00",,"4.64","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-06",,"15","12",,,,,,"0.0","1.51",,"7.98","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-08",,"13","9",,,,,,"0.0","2.80",,"7.10","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-09",,"8","5",,,,,,"0.0","0.70",,"1.80","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-10",,"5","5",,,,,,"0.0","1.92",,"4.60","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-11",,"6","3",,,,,,"0.0","2.50",,"2.87","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2025-12",,"7","4",,,,,,"0.0","0.88",,"1.83","0.0",,,
"US1TXHRR314","HEDWIG VILLAGE 2.0 SW, TX US","29.760006","-95.54421","22.9","2026-01",,"5","4",,,,,,"0.0","0.77",,"2.04","0.0",,,
"US1TXFB0080","KATY 7.2 SE, TX US","29.71977","-95.74364","35.4","2025-05",,"7","7",,,,,,,"1.57",,"3.28",,,,
"US1TXFB0080","KATY 7.2 SE, TX US","29.71977","-95.74364","35.4","2025-10",,"3","2",,,,,,,"0.81",,"1.48",,,,
"US1TXHRR117","TOMBALL 2.7 ENE, TX US","30.1134853363037","-95.5747985839844","49.7","2025-01",,,,,,,,,,,,"3.38",,,,
"US1TXHRR117","TOMBALL 2.7 ENE, TX US","30.1134853363037","-95.5747985839844","49.7","2025-02",,"8","3",,,,,,,"0.91",,"2.33",,,,
"US1TXHRR117","TOMBALL 2.7 ENE, TX US","30.1134853363037","-95.5747985839844","49.7","2025-03",,,,,,,,,,,,"3.72",,,,
