"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DP01","DP10","DT00","DT32","DX32","DX90","EMNT","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-01","4.0","4","4","0","0","0","1","39",,"0.49","91","1.37",,"57.4","68.2","46.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-02","4.9","2","0","0","0","0","0","44",,"0.05","84","0.07",,"58.8","68.9","48.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-03","5.6","4","4","0","0","0","0","42",,"0.60","89","1.47",,"57.7","67.4","48.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-04","5.8","2","0","0","0","0","1","49",,"0.01","90","0.02",,"63.4","72.0","54.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-05","6.3","0","0","0","0","0","0","52",,"0.00","87","0.00",,"65.2","71.4","59.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-06","6.3","0","0","0","0","0","0","57",,"0.00","87","0.00",,"68.7","76.2","61.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-07","5.8","1","0","0","0","0","0","61",,"0.03","89","0.03",,"73.7","81.7","65.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-08","5.6","1","0","0","0","0","4","62",,"0.04","94","0.04",,"74.3","83.2","65.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-09","5.4","0","0","0","0","0","6","58",,"0.00","98","0.00",,"72.2","81.6","62.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-10","4.7","5","2","0","0","0","4","50",,"0.14","94","0.39",,"66.6","76.6","56.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-11","3.8","0","0","0","0","0","3","47",,"0.00","95","0.00",,"64.2","74.4","54.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2021-12","4.3","11","6","0","0","0","0","38",,"2.07","69","5.74",,"54.4","62.3","46.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-01","3.4","1","0","0","0","0","0","39",,"0.01","80","0.01",,"58.0","68.4","47.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-02","4.7","3","0","0","0","0","0","39",,"0.04","89","0.08",,"59.2","72.6","45.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-03","5.8","4","2","0","0","0","0","42",,"0.72","87","0.91",,"61.8","72.0","51.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-04","6.9","1","1","0","0","0","3","48",,"0.15","101","0.15",,"64.9","74.4","55.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-05","6.5","0","0","0","0","0","1","51",,"0.00","91","0.00",,"65.1","72.5","57.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-06","6.0","2","1","0","0","0","1","59",,"0.11","92","0.12",,"71.2","79.7","62.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-07","5.8","0","0","0","0","0","1","62",,"0.00","90","0.00",,"73.5","81.8","65.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-08","5.6","0","0","0","0","0","8","65",,"0.00","95","0.00",,"77.3","86.4","68.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-09","5.4","1","1","0","0","0","14","63",,"0.20","109","0.20",,"79.1","88.4","69.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-10","4.3","3","1","0","0","0","3","55",,"0.10","95","0.18",,"71.0","78.5","63.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-11","4.5","4","1","0","0","0","0","45",,"0.86","82","0.96",,"61.0","71.7","50.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2022-12","3.4","8","4","0","0","0","0","42",,"1.15","82","3.19",,"58.1","66.8","49.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-01","4.9","13","10","0","0","0","0","41",,"1.72","75","6.32",,"56.4","64.6","48.1"
